id,name,slug,code,ranking,population,electoral_register,mp_name,created_at,updated_at
1873,New Forest West,new-forest-west,E14001374,1,85006,71009,,2024-11-05 09:35:54,2024-11-05 09:35:54
1874,Sheffield Hallam,sheffield-hallam,E14001468,2,92970,76637,,2024-11-05 09:35:54,2024-11-05 09:35:54
1875,Sefton Central,sefton-central,E14001463,3,90788,74746,,2024-11-05 09:35:54,2024-11-05 09:35:54
1876,Staffordshire Moorlands,staffordshire-moorlands,E14001514,4,85227,70113,,2024-11-05 09:35:54,2024-11-05 09:35:54
1877,Wirral West,wirral-west,E14001589,5,87880,72126,,2024-11-05 09:35:54,2024-11-05 09:35:54
1878,Isle of Wight East,isle-of-wight-east,E14001303,6,69625,56805,,2024-11-05 09:35:54,2024-11-05 09:35:54
1879,High Peak,high-peak,E14001287,7,90933,73960,,2024-11-05 09:35:54,2024-11-05 09:35:54
1880,New Forest East,new-forest-east,E14001373,8,90780,73823,,2024-11-05 09:35:54,2024-11-05 09:35:54
1881,North Norfolk,north-norfolk,E14001396,9,86968,70719,,2024-11-05 09:35:54,2024-11-05 09:35:54
1882,Christchurch,christchurch,E14001171,10,88068,71598,,2024-11-05 09:35:54,2024-11-05 09:35:54
1883,Kingswinford and South Staffordshire,kingswinford-and-south-staffordshire,E14001316,11,88535,71896,,2024-11-05 09:35:54,2024-11-05 09:35:54
1884,South Shropshire,south-shropshire,E14001493,12,94946,77034,,2024-11-05 09:35:54,2024-11-05 09:35:54
1885,Honiton and Sidmouth,honiton-and-sidmouth,E14001291,13,91669,74365,,2024-11-05 09:35:54,2024-11-05 09:35:54
1886,Na h-Eileanan an Iar,na-h-eileanan-an-iar,S14000027,14,26140,21177,,2024-11-05 09:35:54,2024-11-05 09:35:54
1887,"Dumfriesshire, Clydesdale and Tweeddale",dumfriesshire-clydesdale-and-tweeddale,S14000074,15,87669,70738,,2024-11-05 09:35:54,2024-11-05 09:35:54
1888,West Dorset,west-dorset,E14001575,16,93589,75390,,2024-11-05 09:35:54,2024-11-05 09:35:54
1889,North Ayrshire and Arran,north-ayrshire-and-arran,S14000048,17,91515,73588,,2024-11-05 09:35:54,2024-11-05 09:35:54
1890,Dumfries and Galloway,dumfries-and-galloway,S14000073,18,95722,76863,,2024-11-05 09:35:54,2024-11-05 09:35:54
1891,Penistone and Stocksbridge,penistone-and-stocksbridge,E14001423,19,89018,71377,,2024-11-05 09:35:54,2024-11-05 09:35:54
1892,Waveney Valley,waveney-valley,E14001569,20,88193,70540,,2024-11-05 09:35:54,2024-11-05 09:35:54
1893,Derbyshire Dales,derbyshire-dales,E14001195,21,89331,71435,,2024-11-05 09:35:54,2024-11-05 09:35:54
1894,Gower,gower,W07000097,22,96264,76801,,2024-11-05 09:35:54,2024-11-05 09:35:54
1895,"Ayr, Carrick and Cumnock",ayr-carrick-and-cumnock,S14000006,23,90327,72057,,2024-11-05 09:35:54,2024-11-05 09:35:54
1896,Mid Derbyshire,mid-derbyshire,E14001362,24,87995,70085,,2024-11-05 09:35:54,2024-11-05 09:35:54
1897,Central Ayrshire,central-ayrshire,S14000010,25,87670,69779,,2024-11-05 09:35:54,2024-11-05 09:35:54
1898,Westmorland and Lonsdale,westmorland-and-lonsdale,E14001580,26,90922,72322,,2024-11-05 09:35:54,2024-11-05 09:35:54
1899,Bexhill and Battle,bexhill-and-battle,E14001088,27,89109,70869,,2024-11-05 09:35:54,2024-11-05 09:35:54
1900,Clwyd East,clwyd-east,W07000094,28,96116,76395,,2024-11-05 09:35:54,2024-11-05 09:35:54
1901,Beverley and Holderness,beverley-and-holderness,E14001087,29,89503,71102,,2024-11-05 09:35:54,2024-11-05 09:35:54
1902,Stroud,stroud,E14001529,30,96022,76249,,2024-11-05 09:35:54,2024-11-05 09:35:54
1903,Macclesfield,macclesfield,E14001347,31,95571,75881,,2024-11-05 09:35:54,2024-11-05 09:35:54
1904,Blackpool North and Fleetwood,blackpool-north-and-fleetwood,E14001104,32,95006,75396,,2024-11-05 09:35:54,2024-11-05 09:35:54
1905,Arundel and South Downs,arundel-and-south-downs,E14001067,33,97175,76974,,2024-11-05 09:35:54,2024-11-05 09:35:54
1906,St Ives,st-ives,E14001511,34,88509,70107,,2024-11-05 09:35:54,2024-11-05 09:35:54
1907,Rayleigh and Wickford,rayleigh-and-wickford,E14001437,35,96504,76422,,2024-11-05 09:35:54,2024-11-05 09:35:54
1908,Thirsk and Malton,thirsk-and-malton,E14001544,36,96789,76623,,2024-11-05 09:35:54,2024-11-05 09:35:54
1909,South Devon,south-devon,E14001484,37,90690,71691,,2024-11-05 09:35:54,2024-11-05 09:35:54
1910,Angus and Perthshire Glens,angus-and-perthshire-glens,S14000065,38,97424,77006,,2024-11-05 09:35:54,2024-11-05 09:35:54
1911,Hexham,hexham,E14001285,39,92072,72738,,2024-11-05 09:35:54,2024-11-05 09:35:54
1912,North Northumberland,north-northumberland,E14001397,40,91865,72541,,2024-11-05 09:35:54,2024-11-05 09:35:54
1913,Lewes,lewes,E14001330,41,95096,75091,,2024-11-05 09:35:54,2024-11-05 09:35:54
1914,Ceredigion Preseli,ceredigion-preseli,W07000093,42,93821,74063,,2024-11-05 09:35:54,2024-11-05 09:35:54
