Location Code,Location Name,postcode,Address,Mapped: outcode,Mapped: longitude,Mapped: latitude,Mapped: parliamentary_constituency,Mapped: parliamentary_constituency_2025,Mapped: codes.parliamentary_constituency,Mapped: codes.parliamentary_constituency_2025,Mapped: admin_district,Mapped: codes.admin_district,Mapped: admin_ward,Mapped: codes.admin_ward,Mapped: parish,Mapped: codes.parish,Mapped: admin_county,Mapped: codes.admin_county,Mapped: nhs_ha,Mapped: primary_care_trust,Mapped: region,Mapped: country,Mapped: lsoa,Mapped: codes.lsoa,Mapped: msoa,Mapped: codes.msoa,Mapped: ccg,Mapped: codes.ccg
A101H,Arran War Memorial Hospital, KA27 8LF,"Lamlash, Isle of Arran, KA27 8LF",KA27,-5.115521,55.54312,North Ayrshire and Arran,North Ayrshire and Arran,S14000048,S14000048,North Ayrshire,S12000021,Arran,S13003146,,S99999999,,S99999999,Ayrshire and Arran,North Ayrshire Community Health Partnership,,Scotland,Arran - 06,S01011176,Arran,S02002097,North Ayrshire Community Health Partnership,S03000002
A103H,Ayrshire Central Hospital, KA12 8SS,"Kilwinning Road, Irvine, KA12 8SS",KA12,-4.676106,55.635056,Central Ayrshire,Central Ayrshire,S14000010,S14000010,North Ayrshire,S12000021,Irvine West,S13003032,,S99999999,,S99999999,Ayrshire and Arran,North Ayrshire Community Health Partnership,,Scotland,Irvine Castlepark North - 02,S01011213,Irvine Castlepark North,S02002105,North Ayrshire Community Health Partnership,S03000002
A105H,Kirklandside Hospital, KA1 5LH,"Kirklandside, Kilmarnock, Ayrshire, KA1 5LH",KA1,-4.473803,55.592801,Kilmarnock and Loudoun,Kilmarnock and Loudoun,S14000040,S14000040,East Ayrshire,S12000008,Ballochmyle,S13002898,,S99999999,,S99999999,Ayrshire and Arran,East Ayrshire Community Health Partnership,,Scotland,Earlston and Hurlford Rural - 07,S01007961,Earlston and Hurlford Rural,S02001492,East Ayrshire Community Health Partnership,S03000001
A110H,Lady Margaret Hospital, KA28 0HF,"College St, Millport, Isle of Cumbrae, KA28 0HF",KA28,-4.922755,55.761296,North Ayrshire and Arran,North Ayrshire and Arran,S14000048,S14000048,North Ayrshire,S12000021,North Coast,S13003148,,S99999999,,S99999999,Ayrshire and Arran,North Ayrshire Community Health Partnership,,Scotland,Largs Central and Cumbrae - 07,S01011328,Largs Central and Cumbrae,S02002128,North Ayrshire Community Health Partnership,S03000002
A111H,University Hospital Crosshouse, KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire, KA2 0BE",KA2,-4.539409,55.61394,Kilmarnock and Loudoun,Kilmarnock and Loudoun,S14000040,S14000040,East Ayrshire,S12000008,Kilmarnock West and Crosshouse,S13002894,,S99999999,,S99999999,Ayrshire and Arran,East Ayrshire Community Health Partnership,,Scotland,"Crosshouse, Gatehead and Kilmaurs Rural - 03",S01008027,"Crosshouse, Gatehead and Kilmaurs Rural",S02001504,East Ayrshire Community Health Partnership,S03000001
A112H,Brooksby Day Hospital, KA30 8NE,"18 Greenock Road, Largs, KA30 8NE",KA30,-4.867751,55.798536,North Ayrshire and Arran,North Ayrshire and Arran,S14000048,S14000048,North Ayrshire,S12000021,North Coast,S13003148,,S99999999,,S99999999,Ayrshire and Arran,North Ayrshire Community Health Partnership,,Scotland,Largs North - 01,S01011329,Largs North,S02002129,North Ayrshire Community Health Partnership,S03000002
A114H,Warrix Avenue Mental Health Community Rehabilitation Unit, KA12 0DP,"Warrix Avenue, Irvine, KA12 0DP",KA12,-4.660189,55.611863,Central Ayrshire,Central Ayrshire,S14000010,S14000010,North Ayrshire,S12000021,Irvine West,S13003032,,S99999999,,S99999999,Ayrshire and Arran,North Ayrshire Community Health Partnership,,Scotland,Irvine Fullarton - 01,S01011229,Irvine Fullarton,S02002109,North Ayrshire Community Health Partnership,S03000002
A201H,Ailsa Hospital, KA6 6AB,"Dalmellington Road, Ayr, KA6 6AB",KA6,-4.593108,55.434174,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S14000006,S14000006,South Ayrshire,S12000028,"Maybole, North Carrick and Coylton",S13003093,,S99999999,,S99999999,Ayrshire and Arran,South Ayrshire Community Health Partnership,,Scotland,Carrick North - 04,S01012444,Carrick North,S02002333,South Ayrshire Community Health Partnership,S03000003
A202E,Maybole Day Hospital, KA19 7BY,"6 High Street, Maybole, KA19 7BY",KA19,-4.681547,55.3547,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S14000006,S14000006,South Ayrshire,S12000028,"Maybole, North Carrick and Coylton",S13003093,,S99999999,,S99999999,Ayrshire and Arran,South Ayrshire Community Health Partnership,,Scotland,Maybole - 06,S01012439,Maybole,S02002332,South Ayrshire Community Health Partnership,S03000003
A208H,Biggart Hospital, KA9 2HQ,"Biggart Road, Prestwick, KA9 2HQ",KA9,-4.604862,55.492576,Central Ayrshire,Central Ayrshire,S14000010,S14000010,South Ayrshire,S12000028,Prestwick,S13003088,,S99999999,,S99999999,Ayrshire and Arran,South Ayrshire Community Health Partnership,,Scotland,Prestwick East - 06,S01012529,Prestwick East,S02002347,South Ayrshire Community Health Partnership,S03000003
A210H,University Hospital Ayr, KA6 6DX,"Dalmellington Road, Ayr, KA6 6DX",KA6,-4.595538,55.430332,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S14000006,S14000006,South Ayrshire,S12000028,"Maybole, North Carrick and Coylton",S13003093,,S99999999,,S99999999,Ayrshire and Arran,South Ayrshire Community Health Partnership,,Scotland,Carrick North - 04,S01012444,Carrick North,S02002333,South Ayrshire Community Health Partnership,S03000003
A211H,Arrol Park Resource Centre, KA7 4DW,"10 Doonfoot Road, Ayr, KA7 4DW",KA7,-4.639765,55.449149,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S14000006,S14000006,South Ayrshire,S12000028,Ayr West,S13003091,,S99999999,,S99999999,Ayrshire and Arran,South Ayrshire Community Health Partnership,,Scotland,Alloway and Doonfoot - 01,S01012451,Alloway and Doonfoot,S02002335,South Ayrshire Community Health Partnership,S03000003
A214H,Three Towns Resource Centre, KA21 5RF,"Nelson Road, Saltcoats, KA21 5RF",KA21,-4.772409,55.63957,North Ayrshire and Arran,North Ayrshire and Arran,S14000048,S14000048,North Ayrshire,S12000021,Saltcoats and Stevenston,S13003149,,S99999999,,S99999999,Ayrshire and Arran,North Ayrshire Community Health Partnership,,Scotland,Saltcoats Central - 01,S01011237,Saltcoats Central,S02002111,North Ayrshire Community Health Partnership,S03000002
A215H,East Ayrshire Community Hospital, KA18 1EF,"Ayr Road, Cumnock, KA18 1EF",KA18,-4.271278,55.451469,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S14000006,S14000006,East Ayrshire,S12000008,Cumnock and New Cumnock,S13002899,,S99999999,,S99999999,Ayrshire and Arran,East Ayrshire Community Health Partnership,,Scotland,Cumnock North - 03,S01007918,Cumnock North,S02001484,East Ayrshire Community Health Partnership,S03000001
A216H,Girvan Community Hospital, KA26 9HQ,"Bridgemill, Girvan, Ayrshire, KA26 9HQ",KA26,-4.846997,55.248303,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S14000006,S14000006,South Ayrshire,S12000028,Girvan and South Carrick,S13003094,,S99999999,,S99999999,Ayrshire and Arran,South Ayrshire Community Health Partnership,,Scotland,Girvan Ailsa - 05,S01012433,Girvan Ailsa,S02002331,South Ayrshire Community Health Partnership,S03000003
A217H,Woodland View, KA12 8SS,"Ayrshire Central Hospital, Kilwinning Road, Irvine, KA12 8SS",KA12,-4.676106,55.635056,Central Ayrshire,Central Ayrshire,S14000010,S14000010,North Ayrshire,S12000021,Irvine West,S13003032,,S99999999,,S99999999,Ayrshire and Arran,North Ayrshire Community Health Partnership,,Scotland,Irvine Castlepark North - 02,S01011213,Irvine Castlepark North,S02002105,North Ayrshire Community Health Partnership,S03000002
A218H,Ayr National Treatment Centre, KA6 6PG,"Dalmellington Road, Ayr, KA6 6PG",KA6,-4.582698,55.430188,"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",S14000006,S14000006,South Ayrshire,S12000028,"Maybole, North Carrick and Coylton",S13003093,,S99999999,,S99999999,Ayrshire and Arran,South Ayrshire Community Health Partnership,,Scotland,Carrick North - 04,S01012444,Carrick North,S02002333,South Ayrshire Community Health Partnership,S03000003
B103H,The Knoll Hospital, TD11 3EL,"Station Road, Duns, TD11 3EL",TD11,-2.341409,55.772604,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Mid Berwickshire,S13002766,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Duns - South,S01012305,Duns,S02002304,Scottish Borders Community Health & Care Partnership,S03000004
B104H,Galavale House, TD1 3EB,"Tweed Road, Galashiels, TD1 3EB",TD1,-2.789196,55.607278,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Galashiels and District,S13002763,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Galashiels - S - Netherdale,S01012282,Galashiels South,S02002299,Scottish Borders Community Health & Care Partnership,S03000004
B105H,Hawick Community  Hospital, TD9 7AH,"Victoria Road, Hawick, TD9 7AH",TD9,-2.791819,55.423746,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Hawick and Denholm,S13002770,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Hawick North - Commercial Road,S01012372,Hawick North,S02002319,Scottish Borders Community Health & Care Partnership,S03000004
B108H,Andrew Lang Unit, TD7 4LH,"Viewfield House, Selkirk, TD7 4LH",TD7,-2.840884,55.550316,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Selkirkshire,S13002764,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Selkirk - Dunsdale,S01012384,Selkirk,S02002321,Scottish Borders Community Health & Care Partnership,S03000004
B114H,Kelso Hospital, TD5 7JP,"Inch Road, Kelso, TD5 7JP",TD5,-2.433402,55.603256,"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",S14000008,S14000008,Scottish Borders,S12000026,Kelso and District,S13002768,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Kelso N - Poynder Park,S01012337,Kelso North,S02002310,Scottish Borders Community Health & Care Partnership,S03000004
B118H,Hay Lodge Hospital, EH45 8JG,"Neidpath Road, Peebles, EH45 8JG",EH45,-3.197832,55.651475,"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale and Tweeddale",S14000014,S14000074,Scottish Borders,S12000026,Tweeddale West,S13002761,,S99999999,,S99999999,Borders,Scottish Borders Community Health and Care Partnership,,Scotland,Peebles - N - Cuddyside,S01012253,Peebles North,S02002293,Scottish Borders Community Health & Care Partnership,S03000004
