PARL25,LAD23,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
UKPARL.2025.AAD,W06000005,184991335.3,190198023.6,0.97,1,103234,103234,585
UKPARL.2025.AAG,S12000005,100029285.3,175029745.8,0.57,0.5,47489.34,94044.06,357
UKPARL.2025.AAG,S12000014,67956574.14,175029745.8,0.39,0.5,46554.71,94044.06,235
UKPARL.2025.AAS,S12000050,238262884.3,238262975.7,1,1,92871.03,92871.03,841
UKPARL.2025.ABF,S12000041,393944634.9,416597744,0.95,0.57,57066.95,100640.42,551
UKPARL.2025.ABF,S12000042,19405381.67,416597744,0.05,0.43,43573.47,100640.42,21
UKPARL.2025.ABH,E08000030,53229748.02,53229773.67,1,1,93555.46,93555.46,827
UKPARL.2025.ABL,S12000017,2107503481,9291811263,0.23,0.05,4943.33,90813.33,143
UKPARL.2025.ABL,S12000035,7005252019,9291811263,0.75,0.95,85853.59,90813.33,443
UKPARL.2025.ABM,S12000020,358063359.3,1341001779,0.27,0.25,24560.67,97532.12,166
UKPARL.2025.ABM,S12000034,973105105.7,1341001779,0.73,0.75,72971.46,97532.12,427
UKPARL.2025.ABN,S12000033,99340586.09,99783540.23,1,1,112881.16,112881.16,670
UKPARL.2025.ABS,S12000033,86225053.15,87983939.08,0.98,1,115788.84,115788.84,605
UKPARL.2025.ABV,E07000032,124843017.5,124843097.1,1,1,91906.73,91906.73,800
UKPARL.2025.ACC,S12000008,568519303.1,1633694211,0.35,0.27,24743.45,91141.99,219
UKPARL.2025.ACC,S12000028,1060142942,1633694211,0.65,0.73,66398.54,91141.99,390
UKPARL.2025.AFM,W06000012,181166440.1,245067069.7,0.74,0.62,59001,94958,434
UKPARL.2025.AFM,W06000013,60513205.33,245067069.7,0.25,0.38,35957,94958,156
UKPARL.2025.AHT,E07000089,18046052.52,57091103.89,0.32,0.15,16455.77,111054.77,194
UKPARL.2025.AHT,E07000092,39044998.38,57091103.89,0.68,0.85,94599,111054.77,413
UKPARL.2025.APG,S12000041,1791003736,5525892962,0.32,0.59,59133.05,99584.7,204
UKPARL.2025.APG,S12000048,3728834218,5525892962,0.67,0.41,40451.65,99584.7,402
